
Instance                               Avg. reward  Seed    Time (s)
ORTEC-VRPTW-ASYM-aa746fc7-d1-n478-k45            3  344968   360.599
ORTEC-VRPTW-ASYM-aa746fc7-d1-n478-k45            4  358516   360.846
ORTEC-VRPTW-ASYM-aa746fc7-d1-n478-k45            5  341727   360.732
ORTEC-VRPTW-ASYM-aa746fc7-d1-n478-k45            6  359168   360.208
ORTEC-VRPTW-ASYM-aa746fc7-d1-n478-k45            7  347900    360.39
ORTEC-VRPTW-ASYM-ab61546c-d1-n265-k20            0  297417   300.416
ORTEC-VRPTW-ASYM-ab61546c-d1-n265-k20            1  300749   300.554
ORTEC-VRPTW-ASYM-ab61546c-d1-n265-k20            2  316833   300.827
ORTEC-VRPTW-ASYM-ab61546c-d1-n265-k20            3  287610   300.289
ORTEC-VRPTW-ASYM-ab61546c-d1-n265-k20            4  321018   300.484
ORTEC-VRPTW-ASYM-ab61546c-d1-n265-k20            5  299009   300.595
ORTEC-VRPTW-ASYM-ab61546c-d1-n265-k20            6  305734   300.171
ORTEC-VRPTW-ASYM-ab61546c-d1-n265-k20            7  296560   300.122
ORTEC-VRPTW-ASYM-acc237bb-d1-n390-k23            0  221363   361.133
ORTEC-VRPTW-ASYM-acc237bb-d1-n390-k23            1  226924   360.528
ORTEC-VRPTW-ASYM-acc237bb-d1-n390-k23            2  234682   360.874
ORTEC-VRPTW-ASYM-acc237bb-d1-n390-k23            3  234441   360.864
ORTEC-VRPTW-ASYM-acc237bb-d1-n390-k23            4  234612   360.522
ORTEC-VRPTW-ASYM-acc237bb-d1-n390-k23            5  228989   360.761
ORTEC-VRPTW-ASYM-acc237bb-d1-n390-k23            6  227571   360.813
ORTEC-VRPTW-ASYM-acc237bb-d1-n390-k23            7  239335   360.778
ORTEC-VRPTW-ASYM-addee14a-d1-n302-k20            0  404142   480.682
ORTEC-VRPTW-ASYM-addee14a-d1-n302-k20            1  373103   480.815
ORTEC-VRPTW-ASYM-addee14a-d1-n302-k20            2  383330   480.525
ORTEC-VRPTW-ASYM-addee14a-d1-n302-k20            3  372039   480.706
ORTEC-VRPTW-ASYM-addee14a-d1-n302-k20            4  371889   481.282
ORTEC-VRPTW-ASYM-addee14a-d1-n302-k20            5  363594   481.753
ORTEC-VRPTW-ASYM-addee14a-d1-n302-k20            6  358365   481.016
ORTEC-VRPTW-ASYM-addee14a-d1-n302-k20            7  385531   481.132
ORTEC-VRPTW-ASYM-ae0802e0-d1-n268-k15            0  376126   480.886
ORTEC-VRPTW-ASYM-ae0802e0-d1-n268-k15            1  395586   480.828
ORTEC-VRPTW-ASYM-ae0802e0-d1-n268-k15            2  363705   480.791
ORTEC-VRPTW-ASYM-ae0802e0-d1-n268-k15            3  354595   480.529
ORTEC-VRPTW-ASYM-ae0802e0-d1-n268-k15            4  365541   480.892
ORTEC-VRPTW-ASYM-ae0802e0-d1-n268-k15            5  354651   480.826
ORTEC-VRPTW-ASYM-ae0802e0-d1-n268-k15            6  353388   480.675
ORTEC-VRPTW-ASYM-ae0802e0-d1-n268-k15            7  373924   480.844
ORTEC-VRPTW-ASYM-aecf9ffb-d1-n420-k26            0  397670   420.624
ORTEC-VRPTW-ASYM-aecf9ffb-d1-n420-k26            1  401256   420.536
ORTEC-VRPTW-ASYM-aecf9ffb-d1-n420-k26            2  417595   420.884
ORTEC-VRPTW-ASYM-aecf9ffb-d1-n420-k26            3  398393   420.737
ORTEC-VRPTW-ASYM-aecf9ffb-d1-n420-k26            4  409779   420.596
ORTEC-VRPTW-ASYM-aecf9ffb-d1-n420-k26            5  434413   420.752
ORTEC-VRPTW-ASYM-aecf9ffb-d1-n420-k26            6  386281   420.472
ORTEC-VRPTW-ASYM-aecf9ffb-d1-n420-k26            7  391890   420.834
ORTEC-VRPTW-ASYM-af03d3bd-d1-n214-k15            0  512753   360.491
ORTEC-VRPTW-ASYM-af03d3bd-d1-n214-k15            1  524876   360.545
ORTEC-VRPTW-ASYM-af03d3bd-d1-n214-k15            2  469163   360.656
ORTEC-VRPTW-ASYM-af03d3bd-d1-n214-k15            3  471523   360.346
ORTEC-VRPTW-ASYM-af03d3bd-d1-n214-k15            4  500205    360.48
ORTEC-VRPTW-ASYM-af03d3bd-d1-n214-k15            5  496172   360.349
ORTEC-VRPTW-ASYM-af03d3bd-d1-n214-k15            6  483952   360.388
ORTEC-VRPTW-ASYM-af03d3bd-d1-n214-k15            7  533291    360.53
ORTEC-VRPTW-ASYM-afb4cbe2-d1-n457-k45            0  375562   360.734
ORTEC-VRPTW-ASYM-afb4cbe2-d1-n457-k45            1  375384   360.654
ORTEC-VRPTW-ASYM-afb4cbe2-d1-n457-k45            2  384254   360.385
ORTEC-VRPTW-ASYM-afb4cbe2-d1-n457-k45            3  372249   360.354
ORTEC-VRPTW-ASYM-afb4cbe2-d1-n457-k45            4  376415    360.56
ORTEC-VRPTW-ASYM-afb4cbe2-d1-n457-k45            5  372833    360.91
ORTEC-VRPTW-ASYM-afb4cbe2-d1-n457-k45            6  352001   360.768
ORTEC-VRPTW-ASYM-afb4cbe2-d1-n457-k45            7  385505   360.664
ORTEC-VRPTW-ASYM-b0db3a58-d1-n220-k13            0  400785   420.451
ORTEC-VRPTW-ASYM-b0db3a58-d1-n220-k13            1  377256   421.203
ORTEC-VRPTW-ASYM-b0db3a58-d1-n220-k13            2  409049   420.416
ORTEC-VRPTW-ASYM-b0db3a58-d1-n220-k13            3  397713    420.66
ORTEC-VRPTW-ASYM-b0db3a58-d1-n220-k13            4  413132   420.858
ORTEC-VRPTW-ASYM-b0db3a58-d1-n220-k13            5  385466   421.129
ORTEC-VRPTW-ASYM-b0db3a58-d1-n220-k13            6  387756    420.91
ORTEC-VRPTW-ASYM-b0db3a58-d1-n220-k13            7  383154   420.727
ORTEC-VRPTW-ASYM-b201abbb-d1-n360-k24            0  237383   360.492
ORTEC-VRPTW-ASYM-b201abbb-d1-n360-k24            1  228496   361.037
ORTEC-VRPTW-ASYM-b201abbb-d1-n360-k24            2  225737   360.854
ORTEC-VRPTW-ASYM-b201abbb-d1-n360-k24            3  225889   360.858
ORTEC-VRPTW-ASYM-b201abbb-d1-n360-k24            4  222792   360.647
ORTEC-VRPTW-ASYM-b201abbb-d1-n360-k24            5  229155    360.32
ORTEC-VRPTW-ASYM-b201abbb-d1-n360-k24            6  231119   360.654
ORTEC-VRPTW-ASYM-b201abbb-d1-n360-k24            7  225322   360.684
ORTEC-VRPTW-ASYM-b3059fbe-d1-n325-k20            0  229213   360.585
ORTEC-VRPTW-ASYM-b3059fbe-d1-n325-k20            1  221688   360.555
ORTEC-VRPTW-ASYM-b3059fbe-d1-n325-k20            2  224895   360.481
ORTEC-VRPTW-ASYM-b3059fbe-d1-n325-k20            3  211367    360.86
ORTEC-VRPTW-ASYM-b3059fbe-d1-n325-k20            4  238419   361.134
ORTEC-VRPTW-ASYM-b3059fbe-d1-n325-k20            5  218549   360.157
ORTEC-VRPTW-ASYM-b3059fbe-d1-n325-k20            6  218544   360.442
ORTEC-VRPTW-ASYM-b3059fbe-d1-n325-k20            7  227204   360.801
ORTEC-VRPTW-ASYM-b345b203-d1-n215-k15            0  307533    420.52
ORTEC-VRPTW-ASYM-b345b203-d1-n215-k15            1  324565     421.0
ORTEC-VRPTW-ASYM-b345b203-d1-n215-k15            2  300755   420.058
ORTEC-VRPTW-ASYM-b345b203-d1-n215-k15            3  288217   421.227
ORTEC-VRPTW-ASYM-b345b203-d1-n215-k15            4  306551   421.084
ORTEC-VRPTW-ASYM-b345b203-d1-n215-k15            5  300477   421.511
ORTEC-VRPTW-ASYM-b345b203-d1-n215-k15            6  306384    420.86
ORTEC-VRPTW-ASYM-b345b203-d1-n215-k15            7  334131   420.739
ORTEC-VRPTW-ASYM-b35f2931-d1-n212-k13            0  332970   300.545
ORTEC-VRPTW-ASYM-b35f2931-d1-n212-k13            1  348149    300.43
ORTEC-VRPTW-ASYM-b35f2931-d1-n212-k13            2  355875   300.289
ORTEC-VRPTW-ASYM-b35f2931-d1-n212-k13            3  344572    300.26
ORTEC-VRPTW-ASYM-b35f2931-d1-n212-k13            4  340988   300.349
ORTEC-VRPTW-ASYM-b35f2931-d1-n212-k13            5  362151   300.503
ORTEC-VRPTW-ASYM-b35f2931-d1-n212-k13            6  301923    300.46
ORTEC-VRPTW-ASYM-b35f2931-d1-n212-k13            7  344600   300.422
ORTEC-VRPTW-ASYM-b3635658-d1-n457-k28            0  428324   360.797
ORTEC-VRPTW-ASYM-b3635658-d1-n457-k28            1  399058   360.701
ORTEC-VRPTW-ASYM-b3635658-d1-n457-k28            2  412637   360.734
ORTEC-VRPTW-ASYM-b3635658-d1-n457-k28            3  427885   360.568
ORTEC-VRPTW-ASYM-b3635658-d1-n457-k28            4  408958   360.845
ORTEC-VRPTW-ASYM-b3635658-d1-n457-k28            5  413980   360.643
ORTEC-VRPTW-ASYM-b3635658-d1-n457-k28            6  403338   360.515
ORTEC-VRPTW-ASYM-b3635658-d1-n457-k28            7  396727   360.848
ORTEC-VRPTW-ASYM-b384a276-d1-n219-k17            0  318773   300.506
ORTEC-VRPTW-ASYM-b384a276-d1-n219-k17            1  326080   300.382
ORTEC-VRPTW-ASYM-b384a276-d1-n219-k17            2  355894   300.428
ORTEC-VRPTW-ASYM-b384a276-d1-n219-k17            3  325740   300.406
ORTEC-VRPTW-ASYM-b384a276-d1-n219-k17            4  319227   300.702
ORTEC-VRPTW-ASYM-b384a276-d1-n219-k17            5  315062   300.725
ORTEC-VRPTW-ASYM-b384a276-d1-n219-k17            6  304841   300.486
ORTEC-VRPTW-ASYM-b384a276-d1-n219-k17            7  313539   300.389
ORTEC-VRPTW-ASYM-b6aa1919-d1-n212-k13            0  303866   300.283
ORTEC-VRPTW-ASYM-b6aa1919-d1-n212-k13            1  306454    300.33
ORTEC-VRPTW-ASYM-b6aa1919-d1-n212-k13            2  299529   300.348
ORTEC-VRPTW-ASYM-b6aa1919-d1-n212-k13            3  321745   300.366
ORTEC-VRPTW-ASYM-b6aa1919-d1-n212-k13            4  293278   300.401
ORTEC-VRPTW-ASYM-b6aa1919-d1-n212-k13            5  317300   300.387
ORTEC-VRPTW-ASYM-b6aa1919-d1-n212-k13            6  323553   300.335
ORTEC-VRPTW-ASYM-b6aa1919-d1-n212-k13            7  311125    300.31
ORTEC-VRPTW-ASYM-b7ae3aa2-d1-n304-k23            0  327953   360.443
ORTEC-VRPTW-ASYM-b7ae3aa2-d1-n304-k23            1  310600   360.612
ORTEC-VRPTW-ASYM-b7ae3aa2-d1-n304-k23            2  298613   360.488
ORTEC-VRPTW-ASYM-b7ae3aa2-d1-n304-k23            3  367107   360.551
ORTEC-VRPTW-ASYM-b7ae3aa2-d1-n304-k23            4  297598   360.733
ORTEC-VRPTW-ASYM-b7ae3aa2-d1-n304-k23            5  358448   360.566
ORTEC-VRPTW-ASYM-b7ae3aa2-d1-n304-k23            6  309918   360.833
ORTEC-VRPTW-ASYM-b7ae3aa2-d1-n304-k23            7  287770   361.065
ORTEC-VRPTW-ASYM-bbed1122-d1-n347-k25            0  588260   420.863
ORTEC-VRPTW-ASYM-bbed1122-d1-n347-k25            1  592028    420.36
ORTEC-VRPTW-ASYM-bbed1122-d1-n347-k25            2  597689   420.777
ORTEC-VRPTW-ASYM-bbed1122-d1-n347-k25            3  608698   420.868
ORTEC-VRPTW-ASYM-bbed1122-d1-n347-k25            4  670276    420.74
ORTEC-VRPTW-ASYM-bbed1122-d1-n347-k25            5  595633   420.526
ORTEC-VRPTW-ASYM-bbed1122-d1-n347-k25            6  619738   420.482
ORTEC-VRPTW-ASYM-bbed1122-d1-n347-k25            7  635308    420.65
ORTEC-VRPTW-ASYM-bc44b197-d1-n296-k18            0  375095     360.5
ORTEC-VRPTW-ASYM-bc44b197-d1-n296-k18            1  327444   360.552
ORTEC-VRPTW-ASYM-bc44b197-d1-n296-k18            2  368464   360.769
ORTEC-VRPTW-ASYM-bc44b197-d1-n296-k18            3  338598    360.53
ORTEC-VRPTW-ASYM-bc44b197-d1-n296-k18            4  343755   360.863
ORTEC-VRPTW-ASYM-bc44b197-d1-n296-k18            5  354328   360.467
ORTEC-VRPTW-ASYM-bc44b197-d1-n296-k18            6  339759   360.878
ORTEC-VRPTW-ASYM-bc44b197-d1-n296-k18            7  357625   360.704
ORTEC-VRPTW-ASYM-bda861e7-d1-n364-k22            0  345792   360.569
ORTEC-VRPTW-ASYM-bda861e7-d1-n364-k22            1  368724   360.675
ORTEC-VRPTW-ASYM-bda861e7-d1-n364-k22            2  352256    360.33
ORTEC-VRPTW-ASYM-bda861e7-d1-n364-k22            3  355507   360.513
ORTEC-VRPTW-ASYM-bda861e7-d1-n364-k22            4  352522    360.35
ORTEC-VRPTW-ASYM-bda861e7-d1-n364-k22            5  357319    360.59
ORTEC-VRPTW-ASYM-bda861e7-d1-n364-k22            6  351073   360.608
ORTEC-VRPTW-ASYM-bda861e7-d1-n364-k22            7  349705   360.556
ORTEC-VRPTW-ASYM-bdfcbd22-d1-n247-k20            0  333591   360.439
ORTEC-VRPTW-ASYM-bdfcbd22-d1-n247-k20            1  342202   360.497
ORTEC-VRPTW-ASYM-bdfcbd22-d1-n247-k20            2  345306   360.733
ORTEC-VRPTW-ASYM-bdfcbd22-d1-n247-k20            3  314485   360.462
ORTEC-VRPTW-ASYM-bdfcbd22-d1-n247-k20            4  328138   360.439
ORTEC-VRPTW-ASYM-bdfcbd22-d1-n247-k20            5  344303   360.251
ORTEC-VRPTW-ASYM-bdfcbd22-d1-n247-k20            6  314243   360.242
ORTEC-VRPTW-ASYM-bdfcbd22-d1-n247-k20            7  329816   360.515
ORTEC-VRPTW-ASYM-c0f56186-d1-n499-k31            0  343395    360.58
