benchmark_dynamic.py --num_seeds 8 --solver_seed 1 --num_procs 16 --strategy oracle --instance_pattern instances/ORTEC-VRPTW-ASYM-*.txt --epoch_tlim 600 --phase None --aggregate False

Instance                               Avg. reward  Seed    Time (s)
ORTEC-VRPTW-ASYM-a631ce65-d1-n214-k15            2  324642   600.093
ORTEC-VRPTW-ASYM-a631ce65-d1-n214-k15            3  356764   600.105
ORTEC-VRPTW-ASYM-a631ce65-d1-n214-k15            4  308723   600.078
ORTEC-VRPTW-ASYM-a631ce65-d1-n214-k15            5  279385   600.086
ORTEC-VRPTW-ASYM-a631ce65-d1-n214-k15            6  276765   600.078
ORTEC-VRPTW-ASYM-a631ce65-d1-n214-k15            7  324013   600.087
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20            0  321927   600.064
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20            1  305095   600.071
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20            2  320588   600.063
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20            3  301186   600.072
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20            4  336721   600.074
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20            5  338486   600.059
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20            6  315347    600.07
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20            7  311893   600.062
ORTEC-VRPTW-ASYM-a6f1b493-d1-n299-k21            0  257146   600.078
ORTEC-VRPTW-ASYM-a6f1b493-d1-n299-k21            1  269041   600.081
ORTEC-VRPTW-ASYM-a6f1b493-d1-n299-k21            2  258021    600.07
ORTEC-VRPTW-ASYM-a6f1b493-d1-n299-k21            3  266925   600.084
ORTEC-VRPTW-ASYM-a6f1b493-d1-n299-k21            4  251932   600.074
ORTEC-VRPTW-ASYM-a6f1b493-d1-n299-k21            5  254618   600.092
ORTEC-VRPTW-ASYM-a6f1b493-d1-n299-k21            6  280429   600.093
ORTEC-VRPTW-ASYM-a6f1b493-d1-n299-k21            7  263417   600.073
ORTEC-VRPTW-ASYM-a9d4edc2-d1-n200-k15            0  351482   600.063
ORTEC-VRPTW-ASYM-a9d4edc2-d1-n200-k15            1  345315   600.063
ORTEC-VRPTW-ASYM-a9d4edc2-d1-n200-k15            2  367775   600.069
ORTEC-VRPTW-ASYM-a9d4edc2-d1-n200-k15            3  381109    600.06
ORTEC-VRPTW-ASYM-a9d4edc2-d1-n200-k15            4  386596   600.067
ORTEC-VRPTW-ASYM-a9d4edc2-d1-n200-k15            5  366124    600.06
ORTEC-VRPTW-ASYM-a9d4edc2-d1-n200-k15            6  356520   600.063
ORTEC-VRPTW-ASYM-a9d4edc2-d1-n200-k15            7  323346   600.058
ORTEC-VRPTW-ASYM-aa746fc7-d1-n478-k45            0  330015   600.053
ORTEC-VRPTW-ASYM-aa746fc7-d1-n478-k45            1  357752   600.059
ORTEC-VRPTW-ASYM-aa746fc7-d1-n478-k45            2  336750    600.06
ORTEC-VRPTW-ASYM-aa746fc7-d1-n478-k45            3  310342   600.072
