
Instance                               Avg. reward  Seed    Time (s)
-------------------------------------  -----------  ------  --------
ORTEC-VRPTW-ASYM-a1081c7b-d1-n325-k20            0  277842   360.069
ORTEC-VRPTW-ASYM-a1081c7b-d1-n325-k20            1  276969   360.057
ORTEC-VRPTW-ASYM-a1081c7b-d1-n325-k20            2  253634   360.056
ORTEC-VRPTW-ASYM-a1081c7b-d1-n325-k20            3  265451   360.056
ORTEC-VRPTW-ASYM-a1081c7b-d1-n325-k20            4  293646   360.048
ORTEC-VRPTW-ASYM-a1081c7b-d1-n325-k20            5  287330    360.05
ORTEC-VRPTW-ASYM-a1081c7b-d1-n325-k20            6  287642   360.049
ORTEC-VRPTW-ASYM-a1081c7b-d1-n325-k20            7  302300   360.047
ORTEC-VRPTW-ASYM-a2c1e21d-d1-n504-k38            0  344318   360.039
ORTEC-VRPTW-ASYM-a2c1e21d-d1-n504-k38            1  363998   360.039
ORTEC-VRPTW-ASYM-a2c1e21d-d1-n504-k38            2  352542   360.043
ORTEC-VRPTW-ASYM-a2c1e21d-d1-n504-k38            3  328459   360.041
ORTEC-VRPTW-ASYM-a2c1e21d-d1-n504-k38            4  366082    360.04
ORTEC-VRPTW-ASYM-a2c1e21d-d1-n504-k38            5  352637   360.045
ORTEC-VRPTW-ASYM-a2c1e21d-d1-n504-k38            6  341565   360.041
ORTEC-VRPTW-ASYM-a2c1e21d-d1-n504-k38            7  328433   360.039
ORTEC-VRPTW-ASYM-a53ed404-d1-n406-k25            0  547578    480.05
ORTEC-VRPTW-ASYM-a53ed404-d1-n406-k25            1  553843   480.051
ORTEC-VRPTW-ASYM-a53ed404-d1-n406-k25            2  571634   480.056
ORTEC-VRPTW-ASYM-a53ed404-d1-n406-k25            3  509552   480.051
ORTEC-VRPTW-ASYM-a53ed404-d1-n406-k25            4  540776   480.051
ORTEC-VRPTW-ASYM-a53ed404-d1-n406-k25            5  565719   480.046
ORTEC-VRPTW-ASYM-a53ed404-d1-n406-k25            6  533519   480.047
ORTEC-VRPTW-ASYM-a53ed404-d1-n406-k25            7  586350   480.044
ORTEC-VRPTW-ASYM-a53f89ac-d1-n234-k20            0  346507   360.042
ORTEC-VRPTW-ASYM-a53f89ac-d1-n234-k20            1  360939   360.044
ORTEC-VRPTW-ASYM-a53f89ac-d1-n234-k20            2  365049   360.044
ORTEC-VRPTW-ASYM-a53f89ac-d1-n234-k20            3  336910   360.042
ORTEC-VRPTW-ASYM-a53f89ac-d1-n234-k20            4  345884   360.044
ORTEC-VRPTW-ASYM-a53f89ac-d1-n234-k20            5  348824   360.038
ORTEC-VRPTW-ASYM-a53f89ac-d1-n234-k20            6  332334   360.034
ORTEC-VRPTW-ASYM-a53f89ac-d1-n234-k20            7  351501   360.036
ORTEC-VRPTW-ASYM-a59d64ac-d1-n328-k20            0  315594   360.038
ORTEC-VRPTW-ASYM-a59d64ac-d1-n328-k20            1  300269   360.037
ORTEC-VRPTW-ASYM-a59d64ac-d1-n328-k20            2  270552   360.038
ORTEC-VRPTW-ASYM-a59d64ac-d1-n328-k20            3  280268   360.041
ORTEC-VRPTW-ASYM-a59d64ac-d1-n328-k20            4  303236   360.033
ORTEC-VRPTW-ASYM-a59d64ac-d1-n328-k20            5  316814   360.038
ORTEC-VRPTW-ASYM-a59d64ac-d1-n328-k20            6  339297   360.038
ORTEC-VRPTW-ASYM-a59d64ac-d1-n328-k20            7  279239    360.05
ORTEC-VRPTW-ASYM-a631ce65-d1-n214-k15            0  341159   480.057
ORTEC-VRPTW-ASYM-a631ce65-d1-n214-k15            1  344902   480.056
ORTEC-VRPTW-ASYM-a631ce65-d1-n214-k15            2  331737   480.057
ORTEC-VRPTW-ASYM-a631ce65-d1-n214-k15            3  373027   480.058
ORTEC-VRPTW-ASYM-a631ce65-d1-n214-k15            4  303991   480.061
ORTEC-VRPTW-ASYM-a631ce65-d1-n214-k15            5  285226   480.065
ORTEC-VRPTW-ASYM-a631ce65-d1-n214-k15            6  287351   480.053
ORTEC-VRPTW-ASYM-a631ce65-d1-n214-k15            7  338801   480.052
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20            0  345900   360.037
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20            1  333667   360.038
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20            2  354919   360.037
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20            3  346065   360.039
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20            4  352594   360.033
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20            5  366020   360.039
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20            6  338900   360.036
ORTEC-VRPTW-ASYM-a69bcc0c-d1-n249-k20            7  342392   360.036
ORTEC-VRPTW-ASYM-a6f1b493-d1-n299-k21            0  289194   420.046
ORTEC-VRPTW-ASYM-a6f1b493-d1-n299-k21            1  304125   420.055
ORTEC-VRPTW-ASYM-a6f1b493-d1-n299-k21            2  299576   420.046
ORTEC-VRPTW-ASYM-a6f1b493-d1-n299-k21            3  298466   420.051
ORTEC-VRPTW-ASYM-a6f1b493-d1-n299-k21            4  296334   420.048
ORTEC-VRPTW-ASYM-a6f1b493-d1-n299-k21            5  291926   420.049
ORTEC-VRPTW-ASYM-a6f1b493-d1-n299-k21            6  316193   420.048
ORTEC-VRPTW-ASYM-a6f1b493-d1-n299-k21            7  294028   420.052
ORTEC-VRPTW-ASYM-a9d4edc2-d1-n200-k15            0  409099   360.037
ORTEC-VRPTW-ASYM-a9d4edc2-d1-n200-k15            1  421528   360.042
ORTEC-VRPTW-ASYM-a9d4edc2-d1-n200-k15            2  436746   360.043
ORTEC-VRPTW-ASYM-a9d4edc2-d1-n200-k15            3  448487   360.036
ORTEC-VRPTW-ASYM-a9d4edc2-d1-n200-k15            4  442759   360.036
ORTEC-VRPTW-ASYM-a9d4edc2-d1-n200-k15            5  434451   360.037
ORTEC-VRPTW-ASYM-a9d4edc2-d1-n200-k15            6  426094   360.051
ORTEC-VRPTW-ASYM-a9d4edc2-d1-n200-k15            7  396312   360.037
ORTEC-VRPTW-ASYM-aa746fc7-d1-n478-k45            0  352204   360.033
ORTEC-VRPTW-ASYM-aa746fc7-d1-n478-k45            1  374994   360.044
ORTEC-VRPTW-ASYM-aa746fc7-d1-n478-k45            2  368724   360.036
ORTEC-VRPTW-ASYM-aa746fc7-d1-n478-k45            3  351586   360.033
ORTEC-VRPTW-ASYM-aa746fc7-d1-n478-k45            4  359478   360.035
ORTEC-VRPTW-ASYM-aa746fc7-d1-n478-k45            5  340556   360.036
ORTEC-VRPTW-ASYM-aa746fc7-d1-n478-k45            6  368083   360.043
ORTEC-VRPTW-ASYM-aa746fc7-d1-n478-k45            7  347746   360.038
ORTEC-VRPTW-ASYM-ab61546c-d1-n265-k20            0  298451   300.035
ORTEC-VRPTW-ASYM-ab61546c-d1-n265-k20            1  304520   300.032
